id;placed_date;status;code
1;2019-06-06T04:22:50;COMPLETED;JSON Texas
2;2019-06-06T07:34:58;COMPLETED;Fantastic
3;2019-06-05T15:38:52;COMPLETED;superstructure
4;2019-06-06T10:54:33;COMPLETED;time-frame Quality
5;2019-06-05T14:29:41;COMPLETED;Gorgeous Money Market Account
6;2019-06-06T00:01:13;COMPLETED;Unbranded
7;2019-06-06T01:26:35;COMPLETED;bandwidth Liaison
8;2019-06-05T20:47:47;COMPLETED;Algerian Dinar Fantastic Fresh Salad
9;2019-06-05T20:21:33;COMPLETED;Visionary
10;2019-06-05T23:21:28;COMPLETED;Interactions
