id;tracking_code;jhi_date;details
1;Practical Steel Chips;2019-06-05T22:24:35;frictionless orchid
2;Future-proofed Awesome;2019-06-06T10:12:57;Rubber Shirt
3;Pakistan Rupee;2019-06-06T08:59:15;Rupiah
4;Human Mission;2019-06-05T21:17:16;Soap teal Licensed Wooden Pants
5;e-business;2019-06-06T12:32:44;Brazil
6;Island cyan;2019-06-06T04:34:00;Bedfordshire
7;alliance Licensed Plaza;2019-06-05T20:48:08;Cambridgeshire
8;Regional;2019-06-06T11:50:35;systemic
9;Handmade Savings Account Manager;2019-06-06T00:25:51;Central Polarised
10;back-end Roads bypass;2019-06-06T12:25:43;Customer-focused
